CAS No.,英文名稱,中文名稱
1122-58-3,4-Dimethylaminopyridine,4-二甲胺基吡啶 (DMAP)
1122-91-4,4-Bromobenzaldehyde,4-溴苯甲醛
1124-11-4,"2,3,5,6-Tetramethylpyrazine","2,3,5,6-四甲基吡嗪"
1129-28-8,Methyl 3-(bromomethyl)benzoate,3-(溴甲基)苯甲酸甲酯
112926-00-8,Silica gel 60,矽膠 60
112926-00-8,Silica gel (Orange),矽膠 (橘色變色矽膠)
112926-00-8,Silica gel,矽膠
112981-69-8,"3,5-Bis(trifluoromethyl)phenylmagnesium bromide","3,5-雙(三氟甲基)苯基溴化鎂"
1133-80-8,2-Bromofluorene,2-溴芴
1134-35-6,"4,4'-Dimethyl-2,2'-bipyridyl","4,4'-二甲基-2,2'-聯吡啶"
1141-38-4,"2,6-Naphthalenedicarboxylic acid","2,6-萘二甲酸"
115-18-4,2-Methyl-3-buten-2-ol,2-甲基-3-丁烯-2-醇
115-19-5,2-Methyl-3-butyn-2-ol,2-甲基-3-丁炔-2-醇
116-17-6,Triisopropyl phosphite,亞磷酸三異丙酯
116-53-0,2-Methylbutyric acid,2-甲基丁酸
117-08-8,Tetrachlorophthalic anhydride,四氯鄰苯二甲酸酐
117-34-0,Diphenylacetic acid,二苯乙酸
117344-32-8,"9,9-Bis[4-(2-hydroxyethoxy)phenyl]fluorene","9,9-雙[4-(2-羥乙氧基)苯基]芴"
118-12-7,"2-Methylene-1,3,3-trimethylindoline","2-亞甲基-1,3,3-三甲基吲哚啉"
118-48-9,"4H-3,1-Benzoxazine-2,4(1H)-dione",靛紅酸酐
118-65-0,(-)-Isocaryophyllene,(-)-異石竹烯
118-75-2,p-Chloranil,四氯對苯醌
118-92-3,Anthranilic acid,鄰胺基苯甲酸
1185-53-1,Trizma® hydrochloride (Tris HCl),Tris-HCl (三羥甲基胺基甲烷鹽酸鹽)
1186-10-3,Diethyl (3-bromopropyl)phosphonate,(3-溴丙基)膦酸二乙酯
1186-52-3,Acetic acid-d4,醋酸-d4 (乙酸-d4)
119-36-8,Methyl salicylate,水楊酸甲酯 (冬青油)
119-61-9,Benzophenone,二苯甲酮
119-67-5,2-Carboxybenzaldehyde,2-羧基苯甲醛
1191-15-7,Diisobutylaluminum hydride (DIBAL-H),氫化二異丁基鋁 (DIBAL-H)
1191-15-7,Diisobutylaluminum hydride,二異丁基氫化鋁 (DIBAL-H)
1191-43-1,"1,6-Hexanedithiol","1,6-己二硫醇"
1191-62-4,"1,8-Octanedithiol","1,8-辛二硫醇"
119171-18-5,1-Methyl-3-propylimidazolium iodide,1-甲基-3-丙基咪唑碘鹽
1193-02-8,4-Aminothiophenol,4-胺基苯硫酚
1194-02-1,4-Fluorobenzonitrile,4-氟苯甲腈
120-12-7,Anthracene,蒽
120-72-9,Indole,吲哚
120-80-9,Catechol,鄰苯二酚 (兒茶酚)
120-80-9,Pyrocatechol,鄰苯二酚 (兒茶酚)
120-80-9,"Catechol (1,2-Dihydroxybenzene)",鄰苯二酚 (兒茶酚)
120-82-1,"1,2,4-Trichlorobenzene","1,2,4-三氯苯"
1205-64-7,3-Methyldiphenylamine,3-甲基二苯胺
12069-69-1,Copper(II) carbonate basic,鹼式碳酸銅
121-43-7,Trimethyl borate,硼酸三甲酯
121-43-7,Trimethylborate,硼酸三甲酯
121-44-8,Triethylamine,三乙胺
121-45-9,Trimethylphosphite,亞磷酸三甲酯
1210-35-1,Dibenzosuberone,二苯并環庚酮
12125-01-8,Ammonium fluoride,氟化銨
12125-02-9,Ammonium chloride,氯化銨
12137-20-1,Titanium(II) oxide,一氧化鈦
12148-71-9,"(1,5-Cyclooctadiene)(methoxy)iridium(I) dimer","(1,5-環辛二烯)(甲氧基)銥(I)二聚體"
12150-46-8,"1,1'-Bis(diphenylphosphino)ferrocene (dppf)","1,1'-雙(二苯基膦)二鐵 (dppf)"
122-00-9,4'-Methylacetophenone,4'-甲基苯乙酮
122-39-4,Diphenylamine,二苯胺
122-51-0,Ethyl orthoformate (Triethyl orthoformate),原甲酸三乙酯
122-52-1,Triethyl phosphite,亞磷酸三乙酯
122-99-6,2-Phenoxyethanol,2-苯氧基乙醇
12209-98-2,Sodium tin(IV) oxide trihydrate (Sodium stannate),錫酸鈉三水合物
12230-71-6,Barium hydroxide octahydrate,氫氧化鋇八水合物
12257-42-0,Norbornadiene rhodium(I) chloride dimer,降冰片二烯氯化銠(I)二聚體
123-11-5,4-Methoxybenzaldehyde,4-甲氧基苯甲醛 (茴香醛)
123-30-8,4-Aminophenol,4-胺基苯酚
123-31-9,Hydroquinone,對苯二酚 (氫醌)
123-38-6,Propionaldehyde,丙醛
123-51-3,Isoamyl alcohol,異戊醇
123-75-1,Pyrrolidine,吡咯烷
123-82-0,2-Aminoheptane,2-胺基庚烷
123-91-1,"1,4-Dioxane","1,4-二氧六環 (1,4-二氧雜環己烷)"
123-91-1,"1,4-Dioxane","1,4-二氧六環"
123324-71-0,4-tert-Butylphenylboronic acid,4-叔丁基苯硼酸
123333-60-8,Cerium(IV) sulfate hydrate,硫酸鈰(IV)水合物
124-09-4,"1,6-Hexanediamine","1,6-己二胺"
124-18-5,Decane,正癸烷
124-19-6,Nonanal,壬醛
124-25-4,Tetradecanal,十四醛
124-30-1,1-Octadecanamine,十八胺
124-41-4,Sodium methoxide,甲醇鈉
124-41-4,Sodium methylate,甲醇鈉
124-64-1,Tetrakis(hydroxymethyl)phosphonium chloride (THPC),四羥甲基氯化磷 (THPC)
1256358-83-4,"2,5-Difluoro-1,4-phenylenediboronic acid","2,5-二氟-1,4-苯二硼酸"
1266615-59-1,MES hydrate,MES 水合物 (緩衝液)
127-08-2,Potassium acetate,醋酸鉀
127-09-3,Sodium acetate,醋酸鈉 (乙酸鈉)
127-09-3,Sodium acetate,醋酸鈉
127-09-3,Sodium acetate anhydrous,醋酸鈉 (乙酸鈉)
127-18-4,Tetrachloroethylene,四氯乙烯
127-19-5,"N,N-Dimethylacetamide (DMAc)","N,N-二甲基乙醯胺 (DMAc)"
127-19-5,"N,N-Dimethylacetamide (DMAc)","N,N-二甲基乙醯胺"
128-08-5,N-Bromosuccinimide (NBS),N-溴代丁二醯亞胺 (NBS)
128-09-6,N-Chlorosuccinimide (NCS),N-氯代丁二醯亞胺 (NCS)
128-09-6,N-Chlorosuccinimide,N-氯代琥珀醯亞胺 (NCS)
128-37-0,Butylated hydroxytoluene,丁基羥基甲苯 (BHT)
128-64-3,Isoviolanthrone,異維奧蒽酮 (異紫蒽酮)
128-69-8,"Perylene-3,4,9,10-tetracarboxylic dianhydride","苝-3,4,9,10-四甲酸二酐"
128-95-0,"1,4-Diaminoanthraquinone","1,4-二胺基蒽醌"
128625-52-5,PyBOP,(苯并三唑-1-基氧基)三吡咯烷基鏻六氟磷酸鹽
128796-39-4,4-(Trifluoromethyl)phenylboronic acid,4-(三氟甲基)苯硼酸
129-00-0,Pyrene,芘
129-44-2,"1,5-Diaminoanthraquinone","1,5-二胺基蒽醌"
1291-32-3,Bis(cyclopentadienyl)zirconium(IV) dichloride,二氯二茂鋯
1295502-53-2,"4,7-Dibromo-5,6-difluoro-2,1,3-benzothiadiazole","4,7-二溴-5,6-二氟-2,1,3-苯并噻二唑"
130-15-4,"1,4-Naphthoquinone","1,4-萘醌"
13019-22-2,9-Decen-1-ol,9-癸烯-1-醇
1305-62-0,Calcium hydroxide,氫氧化鈣 (熟石灰)
131-14-6,"2,6-Diaminoanthraquinone","2,6-二胺基蒽醌"
131-58-8,2-Methylbenzophenone,2-甲基二苯甲酮
131-91-9,1-Nitroso-2-naphthol,1-亞硝基-2-萘酚
1310-58-3,Potassium hydroxide,氫氧化鉀
1310-66-3,Lithium hydroxide monohydrate,氫氧化鋰一水合物
1310-73-2,Sodium hydroxide,氫氧化鈉
1310384-98-5,3-Ethoxythiophene-2-boronic acid pinacol ester,3-乙氧基噻吩-2-硼酸頻那醇酯
1310384-98-5,3-Methoxythiophene-2-boronic acid pinacol ester,3-甲氧基噻吩-2-硼酸頻那醇酯
131274-22-1,Tri-tert-butylphosphonium tetrafluoroborate,三-三級丁基磷四氟硼酸鹽
131276-24-9,"1,8-Dibromoanthracene","1,8-二溴蒽"
1313-13-9,Manganese dioxide,二氧化錳
1313-27-5,Molybdenum trioxide,三氧化鉬
1314-56-3,Phosphorus pentoxide,五氧化二磷
1314-62-1,Vanadium pentoxide,五氧化二釩
1314-80-3,Phosphorus pentasulfide,五硫化二磷
1317-39-1,Copper(I) oxide,氧化亞銅
132-65-0,Dibenzothiophene,二苯并噻吩
13209-15-9,"alpha,alpha,alpha',alpha'-Tetrabromo-o-xylene","α,α,α',α'-四溴鄰二甲苯"
1330-20-7,Xylenes,二甲苯 (混合物)
1330-20-7,Xylenes,二甲苯
13325-10-5,4-Amino-1-butanol,4-胺基-1-丁醇
1333-82-0,Chromium trioxide,三氧化鉻
1336-21-6,Ammonium hydroxide (Aqua Ammonia),氫氧化銨 (氨水)
1336-21-6,Ammonium hydroxide,氫氧化銨 (氨水)
13360-61-7,1-Pentadecene,1-十五烯
13395-16-9,Copper(II) acetylacetonate,乙醯丙酮銅(II)
134-03-2,Sodium L-ascorbate,L-抗壞血酸鈉 (維生素C鈉)
134-20-3,Methyl anthranilate,鄰氨基苯甲酸甲酯
13400-13-0,Cesium fluoride,氟化銫
13419-69-7,trans-2-Hexenoic acid,反式-2-己烯酸
1343-88-0,Florisil (Magnesium silicate),矽酸鎂 (弗羅里矽土)
1344-28-1,Aluminum oxide,氧化鋁
13446-18-9,Magnesium nitrate hexahydrate,硝酸鎂六水合物
13446-34-9,Manganese(II) chloride tetrahydrate,氯化錳四水合物
13453-07-1,Gold trichloride,三氯化金
13453-38-8,Thallium(III) nitrate,硝酸鉈(III)
13462-88-9,Nickel(II) bromide,溴化鎳(II)
13466-43-8,3-Bromo-2-hydroxypyridine,3-溴-2-羥基吡啶
13477-34-4,Calcium nitrate tetrahydrate,硝酸鈣四水合物
13478-00-7,Nickel(II) nitrate hexahydrate,硝酸鎳(II)六水合物
13478-10-9,Iron(II) chloride tetrahydrate,氯化亞鐵四水合物
135-19-3,2-Naphthol,2-萘酚
135-48-8,Pentacene,並五苯
135-67-1,Phenoxazine,吩噁嗪
13590-82-4,Cerium(IV) sulfate,硫酸鈰
135999-16-5,2-Bromo-3-methoxyphenol,2-溴-3-甲氧基苯酚
13610-02-1,Phenyl propargyl ether,苯基炔丙基醚
13633-25-5,1-Bromo-4-phenylbutane,1-溴-4-苯基丁烷
136630-39-2,"2,7-Dibromo-9H-carbazole","2,7-二溴咔唑"
13669-05-1,"1,4-Di(2-thienyl)-1,4-butanedione","1,4-二(2-噻吩基)-1,4-丁二酮"
13746-66-2,Potassium hexacyanoferrate(III),鐵氰化鉀 (赤血鹽)
13759-83-6,Samarium(III) nitrate hexahydrate,硝酸釤(III)六水合物
13822-56-5,(3-Aminopropyl)trimethoxysilane (APTMS),(3-胺基丙基)三甲氧基矽烷
13826-83-0,Ammonium fluoroborate,氟硼酸銨
138500-85-3,4-(Bromomethyl)phenylboronic acid pinacol ester,4-(溴甲基)苯硼酸頻那醇酯
138500-85-3,4-Bromomethylphenylboronic acid pinacol ester,4-溴甲基苯硼酸頻哪醇酯
138526-69-9,"1-Bromo-3,4,5-trifluorobenzene","1-溴-3,4,5-三氟苯"
138526-69-9,"5-Bromo-1,2,3-trifluorobenzene","5-溴-1,2,3-三氟苯"
13922-41-3,Naphthalene-1-boronic acid,1-萘硼酸
13965-03-2,Bis(triphenylphosphine)palladium(II) dichloride,雙(三苯基膦)二氯化鈀
140-29-4,Benzyl cyanide,苯乙腈
140-88-5,Ethyl acrylate,丙烯酸乙酯
